alunoID;nome_completo;data_nascimento;sexo;nome_mae;nome_pai;rg;cpf;telenofe_responsavel;email_responsavel
a000001;Ana Oliveira;20120308;Feminino;Patricia Oliveira;Antonio Oliveira;1234567;98765432101;11987654321;ana.oliveira@email.com
a000002;Breno Lima;20121117;Masculino;Vanessa Lima;Rodrigo Lima;2345678;87654321098;11990123456;breno.lima@email.com
a000003;Carla Santos;20120622;Feminino;Isabel Santos;Rodrigo Santos;3456789;76543210987;11990234567;carla.santos@email.com
a000004;Daniel Almeida;20121210;Masculino;Silvia Almeida;Gustavo Almeida;4567890;65432109876;11990345678;daniel.almeida@email.com
a000005;Eduarda Lima;20120513;Feminino;Patricia Lima;Lucas Lima;5678901;54321098765;11990456789;eduarda.lima@email.com
a000006;Felipe Santos;20120927;Masculino;Isabel Santos;Rodrigo Santos;6789012;43210987654;11990567890;felipe.santos@email.com
a000007;Gabriela Almeida;20120701;Feminino;Simone Almeida;Leonardo Almeida;7890123;32109876543;11990678901;gabriela.almeida@email.com
a000008;Henrique Lima;20120414;Masculino;Vanessa Lima;Rodrigo Lima;8901234;21098765432;11990789012;henrique.lima@email.com
a000009;Isabela Santos;20121223;Feminino;Isabel Santos;Rodrigo Santos;9012345;10987654321;11990890123;isabela.santos@email.com
a000010;João Lima;20120906;Masculino;Patricia Lima;Lucas Lima;1234567;98765432101;11990901234;joao.lima@email.com
a000011;Kamila Ferreira;20120818;Feminino;Carla Ferreira;Luís Ferreira;2345678;87654321098;11990987654;kamila.ferreira@email.com
a000012;Lucas Almeida;20121102;Masculino;Sandra Almeida;Paulo Almeida;3456789;76543210987;11990976543;lucas.almeida@email.com
a000013;Mariana Lima;20121228;Feminino;Patricia Lima;Lucas Lima;4567890;65432109876;11990965432;mariana.lima@email.com
a000014;Nathan Santos;20120531;Masculino;Isabel Santos;Rodrigo Santos;5678901;54321098765;11990954321;nathan.santos@email.com
a000015;Olívia Costa;20121024;Feminino;Helena Costa;André Costa;6789012;43210987654;11990943210;olivia.costa@email.com
a000016;Pedro Lima;20121209;Masculino;Vanessa Lima;Rodrigo Lima;7890123;32109876543;11990932109;pedro.lima@email.com
a000017;Quiteria Santos;20120402;Feminino;Isabel Santos;Rodrigo Santos;8901234;21098765432;11990921098;quiteria.santos@email.com
a000018;Rafael Almeida;20120715;Masculino;Silvia Almeida;Gustavo Almeida;9012345;10987654321;11990910987;rafael.almeida@email.com
a000019;Sofia Lima;20120829;Feminino;Patricia Lima;Lucas Lima;1234567;98765432101;11990909876;sofia.lima@email.com
a000020;Ursula Lima;20121124;Feminino;Patricia Lima;Lucas Lima;3456789;76543210987;11990908765;ursula.lima@email.com
a000021;Ana Oliveira;20130108;Feminino;Patricia Oliveira;Antonio Oliveira;1234567;98765432101;11990907654;ana.oliveira@email.com
a000022;Breno Lima;20130917;Masculino;Vanessa Lima;Rodrigo Lima;2345678;87654321098;11990906543;breno.lima@email.com
a000023;Carla Santos;20130322;Feminino;Isabel Santos;Rodrigo Santos;3456789;76543210987;11990905432;carla.santos@email.com
a000024;Daniel Almeida;20131210;Masculino;Silvia Almeida;Gustavo Almeida;4567890;65432109876;11990904321;daniel.almeida@email.com
a000025;Eduarda Lima;20130513;Feminino;Patricia Lima;Lucas Lima;5678901;54321098765;11990903210;eduarda.lima@email.com
a000026;Felipe Santos;20130927;Masculino;Isabel Santos;Rodrigo Santos;6789012;43210987654;11990902109;felipe.santos@email.com
a000027;Gabriela Almeida;20130701;Feminino;Simone Almeida;Leonardo Almeida;7890123;32109876543;11990901098;gabriela.almeida@email.com
a000028;Henrique Lima;20130414;Masculino;Vanessa Lima;Rodrigo Lima;8901234;21098765432;11990900187;henrique.lima@email.com
a000029;Isabela Santos;20131223;Feminino;Isabel Santos;Rodrigo Santos;9012345;10987654321;11990909876;isabela.santos@email.com
a000030;João Lima;20130906;Masculino;Patricia Lima;Lucas Lima;1234567;98765432101;11990908765;joao.lima@email.com
a000031;Kamila Ferreira;20130818;Feminino;Carla Ferreira;Luís Ferreira;2345678;87654321098;11990907654;kamila.ferreira@email.com
a000032;Lucas Almeida;20131102;Masculino;Sandra Almeida;Paulo Almeida;3456789;76543210987;11990906543;lucas.almeida@email.com
a000033;Mariana Lima;20131228;Feminino;Patricia Lima;Lucas Lima;4567890;65432109876;11990905432;mariana.lima@email.com
a000034;Nathan Santos;20130531;Masculino;Isabel Santos;Rodrigo Santos;5678901;54321098765;11990904321;nathan.santos@email.com
a000035;Olívia Costa;20131024;Feminino;Helena Costa;André Costa;6789012;43210987654;11990903210;olivia.costa@email.com
a000036;Pedro Lima;20131209;Masculino;Vanessa Lima;Rodrigo Lima;7890123;32109876543;11990902109;pedro.lima@email.com
a000037;Quiteria Santos;20130402;Feminino;Isabel Santos;Rodrigo Santos;8901234;21098765432;11990901098;quiteria.santos@email.com
a000038;Rafael Almeida;20130715;Masculino;Silvia Almeida;Gustavo Almeida;9012345;10987654321;11990900187;rafael.almeida@email.com
a000039;Sofia Lima;20130829;Feminino;Patricia Lima;Lucas Lima;1234567;98765432101;11990909876;sofia.lima@email.com
a000040;Lucas Oliveira;20130115;Masculino;Patricia Oliveira;Antonio Oliveira;1234567;98765432101;11990908765;lucas.oliveira@email.com
a000041;Ana Oliveira;20140308;Feminino;Patricia Oliveira;Antonio Oliveira;1234567;98765432101;11990907654;ana.oliveira@email.com
a000042;Breno Lima;20141117;Masculino;Vanessa Lima;Rodrigo Lima;2345678;87654321098;11990906543;breno.lima@email.com
a000043;Carla Santos;20140422;Feminino;Isabel Santos;Rodrigo Santos;3456789;76543210987;11990905432;carla.santos@email.com
a000044;Daniel Almeida;20141210;Masculino;Silvia Almeida;Gustavo Almeida;4567890;65432109876;11990904321;daniel.almeida@email.com
a000045;Eduarda Lima;20140513;Feminino;Patricia Lima;Lucas Lima;5678901;54321098765;11990903210;eduarda.lima@email.com
a000046;Felipe Santos;20140927;Masculino;Isabel Santos;Rodrigo Santos;6789012;43210987654;11990902109;felipe.santos@email.com
a000047;Gabriela Almeida;20140701;Feminino;Simone Almeida;Leonardo Almeida;7890123;32109876543;11990901098;gabriela.almeida@email.com
a000048;Henrique Lima;20140414;Masculino;Vanessa Lima;Rodrigo Lima;8901234;21098765432;11990900187;henrique.lima@email.com
a000049;Isabela Santos;20141223;Feminino;Isabel Santos;Rodrigo Santos;9012345;10987654321;11990909876;isabela.santos@email.com
a000050;João Lima;20140906;Masculino;Patricia Lima;Lucas Lima;1234567;98765432101;11990908765;joao.lima@email.com
a000051;Kamila Ferreira;20140818;Feminino;Carla Ferreira;Luís Ferreira;2345678;87654321098;11990907654;kamila.ferreira@email.com
a000052;Lucas Almeida;20141102;Masculino;Sandra Almeida;Paulo Almeida;3456789;76543210987;11990906543;lucas.almeida@email.com
a000053;Mariana Lima;20141228;Feminino;Patricia Lima;Lucas Lima;4567890;65432109876;11990905432;mariana.lima@email.com
a000054;Nathan Santos;20140531;Masculino;Isabel Santos;Rodrigo Santos;5678901;54321098765;11990904321;nathan.santos@email.com
a000055;Olívia Costa;20141024;Feminino;Helena Costa;André Costa;6789012;43210987654;11990903210;olivia.costa@email.com
a000056;Pedro Lima;20141209;Masculino;Vanessa Lima;Rodrigo Lima;7890123;32109876543;11990902109;pedro.lima@email.com
a000057;Quiteria Santos;20140402;Feminino;Isabel Santos;Rodrigo Santos;8901234;21098765432;11990901098;quiteria.santos@email.com
a000058;Rafael Almeida;20140715;Masculino;Silvia Almeida;Gustavo Almeida;9012345;10987654321;11990900187;rafael.almeida@email.com
a000059;Sofia Lima;20140829;Feminino;Patricia Lima;Lucas Lima;1234567;98765432101;11990909876;sofia.lima@email.com
a000060;Isabela Lima;20140820;Feminino;Vanessa Lima;Rodrigo Lima;2345678;87654321098;11990908765;isabela.lima@email.com
a000061;Thiago Santos;20150711;Masculino;Isabel Santos;Rodrigo Santos;2345678;87654321098;11990907654;thiago.santos@email.com
a000062;Ursula Lima;20151124;Feminino;Patricia Lima;Lucas Lima;3456789;76543210987;11990906543;ursula.lima@email.com
a000063;Ana Oliveira;20151208;Feminino;Patricia Oliveira;Antonio Oliveira;1234567;98765432101;11990905432;ana.oliveira@email.com
a000064;Breno Lima;20151117;Masculino;Vanessa Lima;Rodrigo Lima;2345678;87654321098;11990904321;breno.lima@email.com
a000065;Carla Santos;20150422;Feminino;Isabel Santos;Rodrigo Santos;3456789;76543210987;11990903210;carla.santos@email.com
a000066;Daniel Almeida;20151210;Masculino;Silvia Almeida;Gustavo Almeida;4567890;65432109876;11990902109;daniel.almeida@email.com
a000067;Eduarda Lima;20150513;Feminino;Patricia Lima;Lucas Lima;5678901;54321098765;11990901098;eduarda.lima@email.com
a000068;Felipe Santos;20150927;Masculino;Isabel Santos;Rodrigo Santos;6789012;43210987654;11990900187;felipe.santos@email.com
a000069;Gabriela Almeida;20150701;Feminino;Simone Almeida;Leonardo Almeida;7890123;32109876543;11990909876;gabriela.almeida@email.com
a000070;Henrique Lima;20150414;Masculino;Vanessa Lima;Rodrigo Lima;8901234;21098765432;11990908765;henrique.lima@email.com
a000071;Isabela Santos;20151223;Feminino;Isabel Santos;Rodrigo Santos;9012345;10987654321;11990907654;isabela.santos@email.com
a000072;João Lima;20150906;Masculino;Patricia Lima;Lucas Lima;1234567;98765432101;11990906543;joao.lima@email.com
a000073;Kamila Ferreira;20150818;Feminino;Carla Ferreira;Luís Ferreira;2345678;87654321098;11990905432;kamila.ferreira@email.com
a000074;Lucas Almeida;20151102;Masculino;Sandra Almeida;Paulo Almeida;3456789;76543210987;11990904321;lucas.almeida@email.com
a000075;Mariana Lima;20151228;Feminino;Patricia Lima;Lucas Lima;4567890;65432109876;11990903210;mariana.lima@email.com
a000076;Nathan Santos;20150531;Masculino;Isabel Santos;Rodrigo Santos;5678901;54321098765;11990902109;nathan.santos@email.com
a000077;Olívia Costa;20151024;Feminino;Helena Costa;André Costa;6789012;43210987654;11990901098;olivia.costa@email.com
a000078;Pedro Lima;20151209;Masculino;Vanessa Lima;Rodrigo Lima;7890123;32109876543;11990900187;pedro.lima@email.com
a000079;Quiteria Santos;20150402;Feminino;Isabel Santos;Rodrigo Santos;8901234;21098765432;11990909876;quiteria.santos@email.com
a000080;Rafael Almeida;20150715;Masculino;Silvia Almeida;Gustavo Almeida;9012345;10987654321;11990908765;rafael.almeida@email.com
a000081;Ana Oliveira;20160108;Feminino;Patricia Oliveira;Antonio Oliveira;1234567;98765432101;11990907654;ana.oliveira@email.com
a000082;Breno Lima;20160917;Masculino;Vanessa Lima;Rodrigo Lima;2345678;87654321098;11990906543;breno.lima@email.com
a000083;Carla Santos;20160322;Feminino;Isabel Santos;Rodrigo Santos;3456789;76543210987;11990905432;carla.santos@email.com
a000084;Daniel Almeida;20161210;Masculino;Silvia Almeida;Gustavo Almeida;4567890;65432109876;11990904321;daniel.almeida@email.com
a000085;Eduarda Lima;20160513;Feminino;Patricia Lima;Lucas Lima;5678901;54321098765;11990903210;eduarda.lima@email.com
a000086;Felipe Santos;20160927;Masculino;Isabel Santos;Rodrigo Santos;6789012;43210987654;11990902109;felipe.santos@email.com
a000087;Gabriela Almeida;20160701;Feminino;Simone Almeida;Leonardo Almeida;7890123;32109876543;11990901098;gabriela.almeida@email.com
a000088;Henrique Lima;20160414;Masculino;Vanessa Lima;Rodrigo Lima;8901234;21098765432;11990900187;henrique.lima@email.com
a000089;Isabela Santos;20161223;Feminino;Isabel Santos;Rodrigo Santos;9012345;10987654321;11990909876;isabela.santos@email.com
a000090;João Lima;20160906;Masculino;Patricia Lima;Lucas Lima;1234567;98765432101;11990908765;joao.lima@email.com
a000091;Kamila Ferreira;20160818;Feminino;Carla Ferreira;Luís Ferreira;2345678;87654321098;11990907654;kamila.ferreira@email.com
a000092;Lucas Almeida;20161102;Masculino;Sandra Almeida;Paulo Almeida;3456789;76543210987;11990906543;lucas.almeida@email.com
a000093;Mariana Lima;20161228;Feminino;Patricia Lima;Lucas Lima;4567890;65432109876;11990905432;mariana.lima@email.com
a000094;Nathan Santos;20160531;Masculino;Isabel Santos;Rodrigo Santos;5678901;54321098765;11990904321;nathan.santos@email.com
a000095;Olívia Costa;20161024;Feminino;Helena Costa;André Costa;6789012;43210987654;11990903210;olivia.costa@email.com
a000096;Pedro Lima;20161209;Masculino;Vanessa Lima;Rodrigo Lima;7890123;32109876543;11990902109;pedro.lima@email.com
a000097;Quiteria Santos;20160402;Feminino;Isabel Santos;Rodrigo Santos;8901234;21098765432;11990901098;quiteria.santos@email.com
a000098;Rafael Almeida;20160715;Masculino;Silvia Almeida;Gustavo Almeida;9012345;10987654321;11990900187;rafael.almeida@email.com
a000099;Sofia Lima;20160829;Feminino;Patricia Lima;Lucas Lima;1234567;98765432101;11990908765;sofia.lima@email.com
a000100;Laura Almeida;20160812;Feminino;Silvia Almeida;Gustavo Almeida;4567890;65432109876;11990907654;laura.almeida@email.com
